Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/2/2019,12:45 PM,2,0,0,0,0,1101,,,N FEE,,,,,39.17612549,-86.51898236,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,NFEELN,NONE
BLOOMINGTON PD,BLOOMINGTON,5/2/2019,11:45 AM,7,0,0,0,0,,,,N WALNUT,W 11TH ST,,100,N,39.17352264,-86.53348402,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,SAME DIRECTION SIDESWIPE,11THSTWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,5/2/2019,11:30 PM,2,0,0,0,0,,,,W 11TH,N MONROE ST,,,,39.17326,-86.54714,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,NMONROESTW11THST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,5/3/2019,4:00 PM,2,0,0,0,0,,,,S COLLEGE MALL,E 3RD ST,,,,39.16424,-86.4984,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,E3RDSTSCOLLEGEMALLRD,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,5/3/2019,1:01 PM,2,0,1,0,0,,,,N SMITH,SR 46,,,,39.210144,-86.5832,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SMITHPIKESTATEROAD46HWY,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,5/3/2019,9:33 AM,2,0,1,0,0,,,,S SMITH,SR 46,,,,39.16424,-86.480688,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,E3RDSTSMITHRD,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/3/2019,3:00 PM,2,0,0,0,0,,,,N SUNRISE,E 10TH ST,,,,39.17158,-86.51248,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,10THSTSUNRISEDR,NONE
BLOOMINGTON PD,BLOOMINGTON,5/3/2019,5:15 PM,3,0,0,0,0,,,,E 3RD,S HILLSDALE DR,,,,39.164272,-86.502416,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E3RDSTSHILLSDALEDR,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/3/2019,7:15 PM,2,0,0,0,0,,,,S WALNUT,E BURKS DR,,1000,N,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,EBURKSDRSWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,5/3/2019,2:23 PM,2,0,0,0,0,,,,SR 46,E 7TH ST,,100,S,39.16739189,-86.49996854,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E7THSTSR46E,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/3/2019,3:31 PM,4,0,0,0,0,,,,SR 45/46,N MILO B SAMPSON LN,,500,W,39.18622,-86.52210674,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,NMILOBSAMPSONLNSR46,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/3/2019,7:15 PM,2,0,0,0,0,,,,E 8TH,N FORREST AVE,,150,W,39.16947,-86.52232702,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,E8THSTNFORRESTAVE,NONE
MONROE SD,BLOOMINGTON,5/3/2019,4:49 AM,1,0,0,0,0,1799,,,E MONROE DAM,,,,,39.019456,-86.535088,UNKNOWN,N,RURAL,N,N,N,,DARK (LIGHTED),RAIN,WATER (STANDING OR MOVING),,RAMP,STRAIGHT/GRADE,OTHER - EXPLAIN IN NARRATIVE,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,EMONROEDAMRD,NONE
BLOOMINGTON PD,BLOOMINGTON,5/3/2019,3:12 PM,2,0,2,0,0,,,,S WALNUT,E SOUTH DR,,500,S,0,0,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,EASTSOUTHDRSOUTHWALNUTST,NONE
ELLETTSVILLE PD,ELLETTSVILLE,5/3/2019,4:25 PM,2,0,0,0,0,,,,W FOREST PARK,SR 46,,,,39.212048,-86.5872,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,CURVE/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,FORRESTPARKDRSTATEROAD46WRD,NONE
MONROE SD,BLOOMINGTON,5/3/2019,2:54 AM,1,0,0,0,0,,,,W GIFFORD,S ENDWRIGHT RD,,200,W,39.151344,-86.5964,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SENDWRIGHTRDWGIFFORDRD,NONE
BLOOMINGTON PD,BLOOMINGTON,5/4/2019,2:10 AM,2,0,0,0,0,,,,W KIRKWOOD,N WALNUT ST,,,,39.16664,-86.5336,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NWALNUTSTWKIRKWOODAVE,TRAFFIC CONTROL SIGNAL
ELLETTSVILLE PD,ELLETTSVILLE,5/4/2019,3:38 PM,2,0,0,0,0,,,,SR 46,N SMITH PIKE,,,,39.210144,-86.5832,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,NORTHSMITHPIKESR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/4/2019,9:42 AM,2,0,0,0,0,,,,W 3RD,S PATTERSON DR,,,,39.16441,-86.55196,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,SOUTHPATTERSONDRWEST3RDST,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/4/2019,1:40 PM,2,0,2,0,0,,,,E 17TH,N FESS AVE,,,,39.179008,-86.525888,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,IMPROPER TURNING,LEFT TURN,EAST17THSTFESSAVE,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/4/2019,10:30 AM,2,0,0,0,0,1000,,,E 17TH,,,,,39.17896,-86.521088,,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,,,EAST17THST,NONE
BLOOMINGTON PD,BLOOMINGTON,5/4/2019,2:05 PM,2,0,0,0,0,,,,N COLLEGE,W 14TH ST,,,,39.17595,-86.53477,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,NORTHCOLLEGEAVEWEST14THST,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/4/2019,7:32 AM,2,0,0,0,0,,,,N INDIANA,E 14TH ST,,,,39.176192,-86.52712,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,14THSTINDIANAAVE,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/4/2019,12:20 PM,2,0,0,0,0,,,,N JORDAN,E LINGELBACH LN,,200,S,39.15599434,-86.51254,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,IMPROPER TURNING,LEFT TURN,ELINGELBACHLNJORDANAVE,LANE CONTROL
MONROE SD,BLOOMINGTON,5/4/2019,5:00 PM,2,0,0,0,0,,,,S LEONARD SPRINGS,W TAPP RD,,,,39.13704,-86.582512,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,LEONARDSPRINGSRDTAPPRD,STOP SIGN
MONROE SD,BLOOMINGTON,5/4/2019,4:15 PM,2,0,1,0,0,,,,SR 446,E RUSH RIDGE RD,,,,39.08457,-86.42041,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,CURVE/HILLCREST,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,RUSHRIDGERDSR446S,NONE
BLOOMINGTON PD,BLOOMINGTON,5/5/2019,2:20 PM,2,1,0,0,0,,,,SR 48,S GATES DR,,150,W,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SOUTHGATESDRWEST3RDST,LANE CONTROL
MONROE SD,BLOOMINGTON,5/5/2019,11:08 PM,2,0,0,0,0,,,,I-69 S,W SAMPLE RD,Y,250,N,39.29775809,-86.52750503,INTERSTATE,N,URBAN,N,Y,N,,DARK (LIGHTED),CLEAR,DRY,,RAMP,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,I69SSAMPLERD,OFFICER/CROSSING GUARD/FLAGMAN
MONROE SD,BLOOMINGTON,5/5/2019,3:43 PM,2,0,0,0,0,,,,I-69 N,,,200,N,41.33809036,-85.08769536,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,I69N127,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/5/2019,3:00 AM,2,0,0,0,0,,,,S DUNN,E 4TH ST,,,,39.16556,-86.52823,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,REAR END,DUNNSTFOURTHST,STOP SIGN
MONROE SD,BLOOMINGTON,5/5/2019,2:38 AM,1,0,0,0,0,,,,S OLD SR 37,,,2400,N,39.27151098,-86.53944,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,MONROEDAMRDOLDSTATEROAD37RD,NONE
BLOOMINGTON PD,BLOOMINGTON,5/6/2019,8:26 AM,2,0,1,0,0,,,,SR 45/46,N KINSER PIKE,,,,39.186544,-86.537888,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,KINSERPIKESR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/6/2019,5:13 PM,3,0,0,0,0,,,,W COUNTRY CLUB,S WALNUT ST,,100,W,39.13597,-86.53110135,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,SWALNUTSTWCOUNTRYCLUBDR,NONE
MONROE SD,BLOOMINGTON,5/6/2019,5:31 PM,2,0,0,0,0,,,,S WALNUT,W CHURCH LN,,,,39.10726,-86.53149,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SOLDIN37RDWCHURCHLN,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/6/2019,1:08 PM,2,0,2,0,0,,,,W 3RD,S LANDMARK AVE,,,,39.16443,-86.55631,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SOUTHLANDMARKAVEWEST3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/6/2019,6:42 AM,2,0,2,0,0,,,,N ADAMS,W 11TH ST,,,,39.173344,-86.549792,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NADAMSSTW11THST,STOP SIGN
ISP BLOOMINGTON 33,ELLETTSVILLE,5/6/2019,11:35 AM,2,0,0,0,0,,,,N UNION VALLEY,,,500,S,39.18452938,-86.59278,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,MCNEELYSTUNIONVALLEYRD,NO PASSING ZONE
MONROE SD,BLOOMINGTON,5/6/2019,4:54 AM,1,0,0,0,0,,,,S BREEDEN,FREELAND,,,,0,0,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),FOG/SMOKE/SMOG,DRY,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,BREEDENRDFREELANDLN,NONE
ELLETTSVILLE PD,ELLETTSVILLE,5/6/2019,4:33 PM,2,0,0,0,0,,,,SR 46,N DEER PARK DR,,,,39.21212,-86.58719,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,DEERPARKAVESR46W,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,5/7/2019,3:45 PM,2,0,0,0,0,,,,S WALNUT,E 3RD ST,,,,39.16464,-86.5336,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SWALNUTSTW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/7/2019,4:40 PM,2,0,0,0,0,,,,N DUNN,SR 45/46,,,,39.186352,-86.528496,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,RIGHT ANGLE,4546HWYNDUNNST,NONE
BLOOMINGTON PD,BLOOMINGTON,5/7/2019,7:38 PM,3,0,1,0,0,,,,N DUNN,SR 45/46,,,,39.186352,-86.528496,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NDUNNSTSR46E,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/7/2019,8:29 AM,2,0,0,0,0,,,,W COUNTRY CLUB,S ROGERS ST,,,,39.13608,-86.538096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,COUNTRYCLUBDRROGERSST,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/7/2019,1:27 PM,1,0,0,0,0,,,,N INDIANA,E 13TH ST,,,,39.175504,-86.527104,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAILROAD CROSSINGS,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,E13THSTNINDIANAAVE,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/7/2019,2:23 PM,2,0,0,0,0,,,,N MORTON,W 6TH ST,,50,N,39.167664,-86.536,LOCAL/CITY ROAD,N,URBAN,N,N,Y,WORK ON SHOULDER,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,NMORTONSTW6THST,NONE
BLOOMINGTON PD,BLOOMINGTON,5/7/2019,11:20 PM,2,0,0,0,0,,,,SR 45/46,,,500,E,39.18686,-86.54669827,STATE ROAD,N,URBAN,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NORTHMONROESTSR45E,NONE
MONROE SD,BLOOMINGTON,5/7/2019,11:24 PM,1,0,0,0,0,,,,SR 46,S FRIENDSHIP RD,,276,W,39.15395,-86.40679615,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,FRIENDSHIPRDSR46W,NONE
BLOOMINGTON PD,BLOOMINGTON,5/8/2019,11:25 AM,2,0,0,0,0,,,,SR 45/46,N KINSER PIKE,,,,39.186544,-86.537888,STATE ROAD,Y,URBAN,N,N,Y,WORK ON SHOULDER,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,NKINSERPIKESR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/8/2019,2:06 PM,2,0,0,0,0,,,,W 3RD,S DUNN ST,,,,39.164448,-86.528096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SDUNNSTW3RDST,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/8/2019,12:47 PM,2,0,0,0,0,,,,E 17TH,N FEE LN,,,,39.178928,-86.518992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,EAST17THSTFEELN,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/8/2019,1:54 PM,2,0,0,0,0,,,,N INDIANA,E 17TH ST,,,,39.179024,-86.5272,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EAST17THSTINDIANAAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,5/8/2019,1:47 PM,2,0,0,0,0,1175,,,S COLLEGE MALL,ENTRANCE TO JACKSON CREEK SHOPPING CENTER,,,,39.153705,-86.495218,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,SOUTHCOLLEGEMALLRD,NONE
BLOOMINGTON PD,BLOOMINGTON,5/8/2019,3:00 PM,1,0,1,0,0,,,,W 3RD,S MULLER PKWY,,,,39.1645,-86.5627,,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SMULLERPKWYW3RDST,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/9/2019,1:00 PM,2,0,0,0,0,,,,E 17TH,N JORDAN AVE,,200,W,39.178848,-86.51179377,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EAST17THSTNJORDANAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,5/9/2019,12:05 PM,2,0,0,0,0,,,,S WALNUT,E KIRKWOOD AVE,,,,39.16658,-86.53361,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RIGHT ANGLE,EKIRKWOODAVESWALNUTST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/9/2019,10:00 PM,1,0,0,0,0,,,,N WALNUT,E 10TH ST,,30,S,39.171744,-86.53352,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,10THSTNWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,5/9/2019,7:20 AM,2,0,0,0,0,,,,S COLLEGE,W 1ST ST,,100,N,39.15971464,-86.53487561,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ROADWAY SURFACE CONDITION,REAR END,1STSTCOLLEGEAVE,LANE CONTROL
ELLETTSVILLE PD,ELLETTSVILLE,5/9/2019,12:16 PM,2,0,0,0,0,,,,SR 46,N HARTSTRAIT RD,,,,0,0,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,HARTSTRAIGHTRDSR46W,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,5/9/2019,5:36 PM,2,0,0,0,0,,,,SR 46,W ARLINGTON RD,,50,E,39.20756967,-86.57364702,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SR46WWARLINGTONRD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/9/2019,11:46 AM,3,0,0,0,0,,,,W 3RD,S LANDMARK AVE,,200,W,39.16443,-86.55629269,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SLANDMARKAVEW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/9/2019,1:11 PM,2,0,0,0,0,,,,S WALNUT,W GORDON PIKE,,200,N,39.12198859,-86.52653233,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,RHORERRDWALNUTST,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,5/9/2019,2:53 PM,2,0,0,0,0,,,,S AUTO MALL,E BUICK CADILLAC BLVD,,300,S,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,EASTBUICKCADILLACBLVDSOUTHAUTOMALLRD,NONE
MONROE SD,BLOOMINGTON,5/9/2019,4:39 PM,1,0,1,0,0,7025,,,S HARMONY,,,,,39.07707343,-86.6284384,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SHARMONYRD,NONE
